store,address,item,total_price,price_per_unit
kroger,1152 Emmet St N,Heritage FarmÂ® Whole Fresh Young Chicken,1.49,$1.49 / pound
kroger,1152 Emmet St N,Heritage FarmÂ® Split Chicken Breasts,2.29,$2.29 / pound
kroger,1152 Emmet St N,Heritage FarmÂ® Thin Slice Chicken Breasts,3.69,$3.69 / pound
kroger,1152 Emmet St N,Heritage Farm Bone-In Skin-On Fresh Chicken Drumsticks,1.49,$1.49 / pound
kroger,1152 Emmet St N,Heritage Farm Boneless Skinless Fresh Chicken Thighs,3.49,$3.49 / pound
kroger,1152 Emmet St N,Simple Truth All Natural Boneless Skinless Family Pack Fresh Chicken Breast,5.99,$5.99 / pound
kroger,1152 Emmet St N,Heritage FarmÂ® Whole Chicken Wings,3.49,$3.49 / pound
kroger,1152 Emmet St N,Heritage FarmsÂ® Chicken Drumsticks,1.49,$1.49 / pound
kroger,1152 Emmet St N,Simple Truth All Natural Boneless Skinless Fresh Chicken Breast Tenders,7.49,$7.49 / pound
kroger,1152 Emmet St N,Heritage FarmÂ® Chicken Thighs,3.49,$3.49 / pound
kroger,1152 Emmet St N,Heritage Farm Boneless Skinless Fresh Chicken Tenderloins,4.49,$4.49 / pound
kroger,1152 Emmet St N,Heritage Farm Boneless Skinless Fresh Chicken Breast,2.69,$2.69 / pound
kroger,1152 Emmet St N,Kroger Heritage FarmÂ® Chicken Gizzards / Heart,1.99,$0.13 / pound
kroger,1152 Emmet St N,Simple TruthÂ® Natural Thin-Sliced Boneless and Skinless Chicken Breast Cutlets,7.99,$7.99 / pound
kroger,1152 Emmet St N,Kroger Heritage FarmÂ® Uncooked Chicken Leg Quarters,7.99,$0.80 / pound
kroger,1152 Emmet St N,Heritage FarmÂ® Chicken Livers,1.99,$1.59 / pound
kroger,1152 Emmet St N,Heritage FarmÂ® Fresh Chicken Thighs,1.99,$1.99 / pound
kroger,1152 Emmet St N,Heritage FarmÂ® Fresh Chicken Breasts With Rib Meat,2.69,$2.69 / pound
kroger,1152 Emmet St N,PERDUEÂ® Boneless Skinless Chicken Breasts,4.99,$4.99 / pound
kroger,1152 Emmet St N,Heritage FarmÂ® Boneless Skinless Chicken Tenderloins,4.49,$4.49 / pound
kroger,1152 Emmet St N,KrogerÂ® Maraschino Cherries with Stem,3.29,$0.33 / ounce
kroger,1152 Emmet St N,Green White Seedless Grapes,2.99,$2.99 / pound
kroger,1152 Emmet St N,Red Seedless Grapes,2.99,$2.99 / pound
kroger,1152 Emmet St N,Fresh Red Cherries in bag - approx 2 lb,5.99,$5.99 / pound
kroger,1152 Emmet St N,TWIZZLERS Bites Cherry Flavored Licorice Style Candy Bag,3.49,$0.22 / ounce
kroger,1152 Emmet St N,Once Upon A Farmâ„¢ Apple Cherry Elderberry Immunity Blend Yogurt,3.29,$1.03 / ounce
kroger,1152 Emmet St N,FilthyÂ® Red Cherries,5.99,$0.75 / ounce
kroger,1152 Emmet St N,Private SelectionÂ® Frozen Mixed Variety Cherries,10.99,$0.23 / ounce
kroger,1152 Emmet St N,Simple Truth OrganicÂ® Frozen Dark Sweet Cherries,3.49,$0.35 / ounce
kroger,1152 Emmet St N,KrogerÂ® Cherry Pie Filling,3.99,$0.19 / ounce
kroger,1152 Emmet St N,Fresh Organic Red Cherries in Bag - approx 1.5 lb,5.99,$5.99 / pound
kroger,1152 Emmet St N,Fresh Rainier Cherries in Bag Red - approx 1 lb,6.99,$6.99 / pound
kroger,1152 Emmet St N,Private SelectionÂ® Dark Sweet Cherries,3.99,$0.25 / ounce
kroger,1152 Emmet St N,Private SelectionÂ® Cherry Berry Medley Frozen Fruit,3.99,$0.25 / ounce
kroger,1152 Emmet St N,Organic Fresh Yellow Peach,3.99,$3.99 / pound
kroger,1152 Emmet St N,Organic Fresh White Peach,3.99,$3.99 / pound
kroger,1152 Emmet St N,Cherry Bay Orchards Gluten Free Dried Montmorency Cherries,4.99,$1.25 / ounce
kroger,1152 Emmet St N,Organic Fresh Yellow Nectarine,3.99,$3.99 / pound
kroger,1152 Emmet St N,Clif Builders Chocolate Mint Protein Bars,11.49,$1.92 / unit
kroger,1152 Emmet St N,Clif Builders Chocolate Peanut Butter Protein Bar,2.19,$2.19 / unit
kroger,1152 Emmet St N,RXBAR Protein Bars Variety Pack,19.99,$2.00 / unit
kroger,1152 Emmet St N,Pure Proteinâ„¢ Chocolate Peanut Caramel Protein Bar,7.49,$1.87 / unit
kroger,1152 Emmet St N,Promax Double Fudge Brownie Protein Bars,1.5,$1.50 / unit
kroger,1152 Emmet St N,Clif Builders Chocolate Peanut Butter Protein Bars,11.49,$1.92 / unit
kroger,1152 Emmet St N,Quest Crispy Chocolate Peanut Butter Hero Protein Bars,9.99,$2.50 / unit
kroger,1152 Emmet St N,Pure Proteinâ„¢ Gluten Free Galactic Brownie Protein Bar,7.49,$1.87 / unit
kroger,1152 Emmet St N,Perfect BarÂ® Snack Size Refrigerated Dark Chocolate Chip Peanut Butter Protein Bar,8.99,$1.12 / unit
kroger,1152 Emmet St N,Pure Proteinâ„¢ Cookies & Cream Protein Bars 4 ct,7.49,$1.87 / unit
kroger,1152 Emmet St N,Promax Chocolate Chip Cookie Dough Protein Bar,1.5,$1.50 / unit
kroger,1152 Emmet St N,Pure Proteinâ„¢ Birthday Cake Protein Bars,7.49,$1.87 / unit
kroger,1152 Emmet St N,Robert Irvine's Fit CrunchÂ® Chocolate Peanut Butter Protein Bars,7.99,$1.60 / unit
kroger,1152 Emmet St N,Quest White Chocolate Raspberry Protein Bars,9.99,$2.50 / unit
kroger,1152 Emmet St N,Pure Proteinâ„¢ Chocolate Peanut Butter Protein Bars,7.49,$1.87 / unit
kroger,1152 Emmet St N,Think! Brownie Crunch High Protein Bar,2.49,$1.19 / ounce
kroger,1152 Emmet St N,Quest Chocolate Chip Cookie Dough Protein Bars,9.99,$2.50 / unit
kroger,1152 Emmet St N,Nature Valley Protein Smoothie Berry Blend Snack Bars,5.29,$1.06 / unit
kroger,1152 Emmet St N,think! High Protein Creamy Peanut Butter Protein Bars,9.99,$2.00 / pack
kroger,1152 Emmet St N,think!Â® Boston Creme Protein Bars,2.49,$2.49 / unit
